Dish_Name,Ingredient,Quantity_Needed
Classic Burger,لحم برجر 200 جرام,1.0
Classic Burger,شيدر نيوزلندي,0.03
Classic Burger,موتزاريلا,0.03
Classic Burger,خبز بريوش,1.0
Classic Burger,خس باتافيا,0.02
Classic Burger,طماطم فريش,0.03
Classic Burger,خيار مخلل,0.02
Classic Burger,بصل,0.02
Classic Burger,بيف بيكون,0.03
Classic Burger,برجر صوص,0.02
Classic Burger,شيدر صوص,0.02
Smoked Salami King,لحم برجر 200 جرام,1.0
Smoked Salami King,شيدر نيوزلندي,0.03
Smoked Salami King,موتزاريلا,0.03
Smoked Salami King,خبز بريوش,1.0
Smoked Salami King,سالامي مدخن,0.05
Smoked Salami King,بصل مكرمل,0.03
Smoked Salami King,خيار مخلل,0.02
Smoked Salami King,برجر صوص,0.02
Smoked Salami King,شيدر صوص,0.02
Smoked Salami King,سموكد هيكوري باربكيو,0.02
Smoked Onion Rings,لحم برجر 200 جرام,1.0
Smoked Onion Rings,شيدر نيوزلندي,0.03
Smoked Onion Rings,موتزاريلا,0.03
Smoked Onion Rings,خبز بريوش,1.0
Smoked Onion Rings,خس باتافيا,0.02
Smoked Onion Rings,طماطم فريش,0.03
Smoked Onion Rings,بصل,0.02
Smoked Onion Rings,خيار مخلل,0.02
Smoked Onion Rings,بيف بيكون,0.04
Smoked Onion Rings,اونيون رينجز,3.0
Smoked Onion Rings,برجر صوص,0.02
Smoked Onion Rings,سموكد بلاك باربكيو,0.02
Creamy Mushroom Lover,لحم برجر 200 جرام,1.0
Creamy Mushroom Lover,شيدر نيوزلندي,0.03
Creamy Mushroom Lover,موتزاريلا,0.03
Creamy Mushroom Lover,خبز بريوش,1.0
Creamy Mushroom Lover,مشروم فريش,0.05
Creamy Mushroom Lover,خيار مخلل,0.02
Creamy Mushroom Lover,بصل,0.02
Creamy Mushroom Lover,كريمي مشروم صوص,0.03
Creamy Ranch,لحم برجر 200 جرام,1.0
Creamy Ranch,شيدر نيوزلندي,0.03
Creamy Ranch,موتزاريلا,0.03
Creamy Ranch,خبز بريوش,1.0
Creamy Ranch,خس باتافيا,0.02
Creamy Ranch,طماطم فريش,0.03
Creamy Ranch,خيار مخلل,0.02
Creamy Ranch,بصل,0.02
Creamy Ranch,موتزاريلا ستيك,2.0
Creamy Ranch,كريمي رانش صوص,0.03
Creamy Ranch,شيدر صوص,0.02
وجبة الاستربس,استربس دجاج,3.0
وجبة الاستربس,بطاطس,0.15
وجبة الاستربس,خبز بريوش,1.0
وجبة الاستربس,كولسلو,0.05
وجبة الاستربس,جولدن باتر صوص,0.03
كومبو برجر,بطاطس,0.15
كومبو برجر,تشيز بايت,3.0
كومبو برجر,بيج كولا,1.0
Texas Bacon Burger,لحم برجر 200 جرام,1.0
Texas Bacon Burger,شيدر نيوزلندي,0.09
Texas Bacon Burger,موتزاريلا,0.03
Texas Bacon Burger,طماطم فريش,1.0
Texas Bacon Burger,بيف بيكون,0.02
Texas Bacon Burger,تكساس صوص,0.03
Texas Bacon Burger,برجر صوص,0.05
